央视,#genre#
CCTV1,http://111.48.246.74/000000001000PLTV/88888888/224/3221229665/1.m3u8#http://111.48.246.74/000000001000PLTV/88888888/224/3221229968/1.m3u8#http://111.48.246.74/000000001000PLTV/88888888/224/3221230440/1.m3u8#http://111.48.246.74/000000001000PLTV/88888888/224/3221230563/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221229665/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221229968/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230440/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230563/1.m3u8#http://222.89.16.243:808/hls/1/index.m3u8#http://39.134.64.87:6610/PLTV/88888888/224/3221226016/index.m3u8?IASHttpSessionId=#http://39.134.64.87:6610/PLTV/88888888/224/3221226559/index.m3u8?IASHttpSessionId=#http://39.134.65.173/PLTV/88888888/224/3221225816/1.m3u8#http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8#http://39.134.67.108/PLTV/88888888/224/3221226119/1.m3u8#http://39.135.133.132/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8#http://8.138.7.223/tv/ptbtv.php?id=27#http://goo.bkpcp.top/mg/cctv1$咪咕源#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226514/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8#http://qwt.zhibotv.top:2016/全网通.php?id=CCTV1#http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226737/1.m3u8
CCTV2,http://111.48.246.74/000000001000PLTV/88888888/224/3221229893/1.m3u8#http://111.48.246.74/000000001000PLTV/88888888/224/3221230359/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221229893/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230359/1.m3u8#http://222.89.16.243:808/hls/2/index.m3u8#http://39.134.64.87:6610/PLTV/88888888/224/3221225588/index.m3u8?IASHttpSessionId=#http://39.134.65.173/PLTV/88888888/224/3221225599/1.m3u8#http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8#http://39.135.133.177/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8#http://goo.bkpcp.top/mg/cctv2$咪咕源#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8#http://qwt.zhibotv.top:2016/全网通.php?id=CCTV2#http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226739/1.m3u8
CCTV3,http://111.48.246.74/000000001000PLTV/88888888/224/3221230150/1.m3u8#http://111.48.246.74/000000001000PLTV/88888888/224/3221230394/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230150/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230394/1.m3u8#http://222.89.16.243:808/hls/3/index.m3u8#http://39.134.64.87:6610/PLTV/88888888/224/3221226021/index.m3u8?IASHttpSessionId=#http://39.134.65.173/PLTV/88888888/224/3221225799/1.m3u8#http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8#http://39.135.135.41/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8#http://goo.bkpcp.top/mg/cctv3$咪咕源#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8#http://qwt.zhibotv.top:2016/全网通.php?id=CCTV3#http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226720/1.m3u8
CCTV4,http://111.48.246.74/000000001000PLTV/88888888/224/3221229862/1.m3u8#http://111.48.246.74/000000001000PLTV/88888888/224/3221230489/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221229862/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230489/1.m3u8#http://222.89.16.243:808/hls/4/index.m3u8#http://39.134.64.87:6610/PLTV/88888888/224/3221226428/index.m3u8?IASHttpSessionId=#http://39.134.65.173/PLTV/88888888/224/3221225797/1.m3u8#http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8#http://39.135.135.50/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8#http://goo.bkpcp.top/mg/cctv4$咪咕源#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8#http://qwt.zhibotv.top:2016/全网通.php?id=CCTV4#http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226725/1.m3u8
CCTV4K,http://111.48.246.74/000000001000PLTV/88888888/224/3221230518/1.m3u8#http://111.48.246.74/000000001000PLTV/88888888/224/3221230571/1.m3u8#http://111.48.246.74/000000001000PLTV/88888888/224/3221230577/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230518/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230571/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230577/1.m3u8#http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229373/01.m3u8?fmt=ts2hls#http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229373/1/01.m3u8?fmt=ts2hls#http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229373/1/index.m3u8?fmt=ts2hls
CCTV4欧洲,http://111.48.246.74/000000001000PLTV/88888888/224/3221230530/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230530/1.m3u8
CCTV4美洲,http://111.48.246.74/000000001000PLTV/88888888/224/3221230585/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230585/1.m3u8
CCTV5,http://111.48.246.74/000000001000PLTV/88888888/224/3221230165/1.m3u8#http://111.48.246.74/000000001000PLTV/88888888/224/3221230400/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230165/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230400/1.m3u8#http://222.89.16.243:808/hls/5/index.m3u8#http://39.134.64.87:6610/PLTV/88888888/224/3221226019/index.m3u8?IASHttpSessionId=#http://39.134.65.173/PLTV/88888888/224/3221225818/1.m3u8#http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8#http://39.135.135.41/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8#http://goo.bkpcp.top/mg/cctv5$咪咕源#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8#http://qwt.zhibotv.top:2016/全网通.php?id=CCTV5#http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226731/1.m3u8
CCTV5+,http://111.48.246.74/000000001000PLTV/88888888/224/3221230455/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230455/1.m3u8#http://222.89.16.243:808/hls/18/index.m3u8#http://39.134.65.173/PLTV/88888888/224/3221225507/1.m3u8#http://39.134.65.71/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8#http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8#http://goo.bkpcp.top/mg/cctv5p$咪咕源#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8#http://qwt.zhibotv.top:2016/全网通.php?id=CCTV5p#http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226711/1.m3u8
CCTV6,http://111.48.246.74/000000001000PLTV/88888888/224/3221230154/1.m3u8#http://111.48.246.74/000000001000PLTV/88888888/224/3221230451/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230154/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230451/1.m3u8#http://222.89.16.243:808/hls/6/index.m3u8#http://39.134.64.87:6610/PLTV/88888888/224/3221226010/index.m3u8?IASHttpSessionId=#http://39.134.65.173/PLTV/88888888/224/3221225814/1.m3u8#http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8#http://39.135.135.50/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8#http://goo.bkpcp.top/mg/cctv6$咪咕源#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8#http://qwt.zhibotv.top:2016/全网通.php?id=CCTV6#http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226699/1.m3u8
