中国移动,#genre#
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226559/1.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226016/1.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226540/1.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/1.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226021/1.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226428/1.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226019/1.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225603/1.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226010/1.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225733/1.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226008/1.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225734/1.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225730/1.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226565/1.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225597/1.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225731/1.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226571/1.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226537/1.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226011/1.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225732/1.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226476/1.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225601/1.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226100/1.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225765/1.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225728/1.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225740/1.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226345/1.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225613/1.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225612/1.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225610/1.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225627/1.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226480/1.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226406/1.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226456/1.m3u8
山西卫视 – 标清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225624/1.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226248/1.m3u8
广西卫视 – 标清,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226380/1.m3u8
